epoch,train_loss,val_loss,val_acc,test_loss,test_acc,Lx,Lu,Lu2
0,1.4787015007138253,1.314222869682312,0.6117,1.3024205991109212,0.61475,1.4681607704162598,0.37426769035309554,0.9802116471529007
1,1.0251033423542977,1.4097660346984864,0.62725,1.397287434387207,0.6295333333333333,0.9977099588811398,0.36957193712890146,0.5152291510701179
2,0.9386741541326046,1.385459239578247,0.6503,1.3858102539698283,0.6510333333333334,0.9004375837594271,0.30723832885548474,0.3970186270922422
3,0.9108427558541298,1.3387475135803222,0.65225,1.3324984390894572,0.6547,0.8623640583455563,0.2777217498011887,0.3675515884310007
4,0.8836163759827614,1.3353335248947145,0.66125,1.3394888753890992,0.6633166666666667,0.8277119712978601,0.24882476468756795,0.36045831844955684
5,0.8827258570790291,1.3980969383239745,0.66505,1.3939870185216268,0.66695,0.8189767469614744,0.23197770858183503,0.3458910486213863
6,0.8813156924098731,1.3768082706451417,0.6655,1.3731896504084269,0.6660833333333334,0.8086925017461181,0.22357132704742252,0.3401823326423764
7,0.886300094217062,1.4647569093704225,0.6566,,,0.8038115048110485,0.2199679282568395,0.34346949759870765
8,0.8816930215358734,1.3644377431869508,0.6616,,,0.7933285901099444,0.20791509058512747,0.3265793604776263
9,0.8781612037271261,1.4376767742156982,0.66585,1.437203965250651,0.6676833333333333,0.7808346600234508,0.2048900167439133,0.3123000063076615
10,0.8689628451764584,1.5888740041732787,0.66945,1.5833708672205606,0.6699333333333334,0.7676253562420606,0.1930868110973388,0.2978024304173887
11,0.86094658562541,1.6299309549331664,0.66435,,,0.7506900589466095,0.19176723753660918,0.29083341936394574
12,0.8899193377047777,1.48661351852417,0.67215,1.4798174234390258,0.67405,0.7705905324369668,0.1908748467080295,0.2912103993780911
13,0.8822086199298501,1.5162119009017945,0.66665,,,0.7573216064283624,0.18491855308040978,0.2792218484543264
14,0.8844743284285068,1.6524406183242797,0.6641,,,0.7520280420035124,0.18268964964523912,0.2775167265422642
15,0.8913807241916657,1.5329460010528564,0.66875,,,0.7494972532987595,0.18306219417322428,0.2703621636405587
16,0.8942876970022917,1.6315803121566772,0.6684,,,0.7436742990761995,0.18256556170806287,0.26328611674532293
17,0.9016649653017521,1.6653919610977173,0.66855,,,0.744916340123862,0.17920833988673984,0.2670170950107276
18,0.901617347508669,1.5735523811340333,0.66735,,,0.7406891053915023,0.17406460858508946,0.24780605288874358
19,0.9134190587997436,1.6840900215148926,0.67015,,,0.7405684868246317,0.17728604354709387,0.25384586762823164
